"state","city","population","violent.crime","murder","rape","robbery","assault","property.crime","burglary","larceny","gta","arson"
"idaho","Aberdeen",1959,2,0,1,0,1,16,1,12,3,0
"idaho","American Falls",4404,4,0,1,1,2,58,10,46,2,0
"idaho","Bellevue",2269,0,0,0,0,0,19,11,7,1,0
"idaho","Blackfoot",11826,23,1,6,1,15,449,83,346,20,2
"idaho","Boise",214330,600,3,123,45,429,4741,825,3703,213,48
"idaho","Bonners Ferry",2586,13,0,0,1,12,52,10,42,0,0
"idaho","Buhl",4183,7,0,1,0,6,68,16,52,0,2
"idaho","Caldwell",48069,133,0,19,6,108,1128,190,892,46,5
"idaho","Cascade",893,0,0,0,0,0,25,3,21,1,0
"idaho","Challis",1084,0,0,0,0,0,6,0,6,0,0
"idaho","Chubbuck",14224,34,0,2,3,29,603,39,553,11,1
"idaho","Coeur d'Alene",46023,257,0,53,20,184,1735,359,1259,117,8
"idaho","Cottonwood",926,1,0,0,0,1,7,0,7,0,0
"idaho","Emmett",6509,8,1,0,0,7,88,40,48,0,0
"idaho","Filer",2575,3,0,1,0,2,10,6,2,2,0
"idaho","Fruitland",4734,5,0,0,1,4,80,26,47,7,2
"idaho","Garden City",11342,65,0,21,5,39,425,63,347,15,7
"idaho","Gooding",3502,3,0,1,0,2,51,15,34,2,0
"idaho","Grangeville",3153,4,0,0,0,4,56,17,37,2,0
"idaho","Hagerman",862,0,0,0,0,0,8,0,7,1,0
"idaho","Hailey",7915,14,1,1,0,12,72,29,42,1,0
"idaho","Heyburn",3134,3,0,0,0,3,42,18,22,2,0
"idaho","Homedale",2606,9,0,1,0,8,52,16,35,1,0
"idaho","Idaho Falls",58188,124,0,31,19,74,1623,304,1210,109,6
"idaho","Jerome",11059,30,0,7,3,20,205,59,128,18,0
"idaho","Kamiah",1323,3,0,0,1,2,16,5,11,0,0
"idaho","Kellogg",2109,8,0,2,0,6,73,30,34,9,0
"idaho","Ketchum",2670,3,0,0,0,3,51,5,44,2,0
"idaho","Kimberly",3351,1,0,0,0,1,26,16,10,0,0
"idaho","Lewiston",32093,49,0,8,8,33,1169,264,853,52,1
"idaho","McCall",2851,15,0,3,1,11,82,19,62,1,0
"idaho","Meridian",82064,115,0,33,5,77,1030,193,812,25,17
"idaho","Montpelier",2520,5,0,0,0,5,60,9,50,1,0
"idaho","Moscow",24714,25,1,8,2,14,749,116,607,26,3
"idaho","Mountain Home",13644,39,1,11,0,27,202,24,175,3,3
"idaho","Nampa",84634,202,1,42,16,143,1876,434,1319,123,15
"idaho","Orofino",3098,7,0,1,0,6,66,23,43,0,0
"idaho","Osburn",1542,3,1,0,0,2,15,8,5,2,0
"idaho","Parma",2030,0,0,0,0,0,20,9,9,2,0
"idaho","Payette",7442,19,0,5,0,14,240,69,166,5,0
"idaho","Pinehurst",1616,2,0,1,0,1,22,14,7,1,0
"idaho","Pocatello",54935,195,0,21,27,147,1776,278,1415,83,7
"idaho","Ponderay",1110,1,0,0,0,1,78,9,66,3,0
"idaho","Post Falls",28959,71,1,9,5,56,803,100,650,53,1
"idaho","Preston",5128,5,0,1,0,4,49,11,36,2,0
"idaho","Priest River",1706,1,0,0,0,1,39,14,21,4,0
"idaho","Rathdrum",7078,9,0,1,0,8,150,56,86,8,0
"idaho","Rexburg",26298,7,0,0,0,7,193,29,157,7,0
"idaho","Rigby",4031,5,0,0,0,5,73,19,51,3,0
"idaho","Rupert",5500,11,0,0,1,10,136,31,102,3,1
"idaho","Salmon",3020,8,0,1,0,7,40,11,25,4,0
"idaho","Sandpoint",7412,19,0,0,0,19,335,65,265,5,0
"idaho","Shelley",4408,1,0,0,0,1,43,11,32,0,0
"idaho","Shoshone",1488,13,0,1,0,12,4,2,2,0,0
"idaho","Soda Springs",2946,14,0,0,1,13,37,18,19,0,0
"idaho","Spirit Lake",2016,6,0,2,0,4,24,6,17,1,0
"idaho","St. Anthony",3446,4,0,0,0,4,26,5,21,0,0
"idaho","St. Maries",2335,9,0,0,1,8,32,10,18,4,0
"idaho","Sun Valley",1391,8,0,0,0,8,10,1,8,1,0
"idaho","Twin Falls",45378,118,0,18,10,90,1320,196,1073,51,7
"idaho","Wendell",2740,6,0,1,0,5,26,6,19,1,0
"idaho","Wilder",1568,3,0,0,0,3,17,6,11,0,0
